S.No.,Sector,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1,Agriculture,"15,01,947","15,24,288","16,09,198","16,05,715","16,16,146","17,26,004","18,40,023","18,78,598","19,94,326","20,74,212","21,70,106","22,72,250"
2,Mining,"2,61,035","2,62,609","2,63,107","2,88,685","3,17,974","3,49,248","3,29,612","3,26,815","3,17,134","2,91,075","3,09,276","3,15,256"
3,Manufacturing,"14,09,986","14,86,873","15,60,709","16,83,938","19,03,850","20,54,764","22,09,428","23,28,992","22,59,706","23,29,160","25,61,033","25,04,663"
4,Electricity,"1,86,668","1,91,635","1,99,601","2,14,047","2,24,158","2,46,496","2,72,650","2,94,147","3,00,798","2,88,213","3,17,966","3,47,973"
5,Construction,"7,77,335","7,80,050","8,00,771","8,35,229","8,65,335","9,16,445","9,64,306","10,26,789","10,43,429","9,95,371","11,93,532","13,06,256"
6,Trade,"8,83,582","9,81,620","10,34,506","11,35,841","12,61,426","13,89,322","15,68,175","17,07,781","18,28,868","14,38,477","16,14,780","18,38,718"
7,"Transport, storage & communication","5,29,534","5,69,523","6,17,556","6,71,848","7,31,399","7,57,056","8,00,245","8,30,977","8,61,192","7,15,411","8,65,601","9,39,005"
8,Financial services,"4,80,226","5,29,792","5,77,914","6,27,255","6,72,788","6,95,983","7,28,670","7,58,170","7,84,536","8,24,294","8,31,305","8,94,603"
9,"Real estate","10,50,651","11,50,239","12,89,493","14,46,460","16,21,999","17,96,983","18,08,521","19,56,051","21,13,708","21,29,836","22,91,542","25,10,871"
10,"community, social & personal services","4,91,155","5,01,383","5,10,046","5,43,853","5,65,106","6,14,238","6,76,507","7,22,773","7,62,531","7,57,886","7,80,846","8,28,314"
11,Other services,"5,34,827","5,68,262","6,00,748","6,59,262","7,11,691","7,81,744","8,36,035","9,02,705","9,69,873","8,43,408","9,40,853","10,46,990"
