Broad,Year,Value_2011base
Agriculture,1950,589213.188642
Agriculture,1951,598003.5351399544
Agriculture,1952,616863.7841186987
Agriculture,1953,664365.7767005282
Agriculture,1954,683896.2692893291
Agriculture,1955,677985.9392733754
Agriculture,1956,714845.2757440032
Agriculture,1957,682734.5136985643
Agriculture,1958,751525.8805852826
Agriculture,1959,743958.2209153709
Agriculture,1960,794064.0083702082
Agriculture,1961,794734.2519802648
Agriculture,1962,778924.6269478995
Agriculture,1963,797147.1289764686
Agriculture,1964,870678.9461234054
Agriculture,1965,774537.5778638925
Agriculture,1966,763517.148081568
Agriculture,1967,877060.4777076413
Agriculture,1968,875671.2454977058
Agriculture,1969,931955.4604125194
Agriculture,1970,998049.6045290707
Agriculture,1971,979315.2801073673
Agriculture,1972,930168.1441190352
Agriculture,1973,997155.9463823285
Agriculture,1974,981967.8199701974
Agriculture,1975,1108538.2481262798
Agriculture,1976,1044487.3314997801
Agriculture,1977,1149313.4321126323
Agriculture,1978,1175777.899503655
Agriculture,1979,1025574.2754487284
Agriculture,1980,1157754.4395168603
Agriculture,1981,1211028.651310147
Agriculture,1982,1207628.6882700417
Agriculture,1983,1329852.6881669695
Agriculture,1984,1350930.8341826282
Agriculture,1985,1355175.7103796534
Agriculture,1986,1349626.9057048818
Agriculture,1987,1328199.4205954964
Agriculture,1988,1535926.1947232203
Agriculture,1989,1554189.3175766412
Agriculture,1990,1616591.0287141534
Agriculture,1991,1585028.6478042153
Agriculture,1992,1690447.8124599056
Agriculture,1993,1746618.2890651338
Agriculture,1994,1828985.1356173623
Agriculture,1995,1816266.7553562275
Agriculture,1996,1996448.5481518677
Agriculture,1997,1945465.350880229
Agriculture,1998,2068424.5877069763
Agriculture,1999,2123636.412845699
Agriculture,2000,2123473.9295462915
Agriculture,2001,2251031.4437462757
Agriculture,2002,2102367.3489532364
Agriculture,2003,2292602.7958997255
Agriculture,2004,2296811.113354384
Agriculture,2005,2414859.5012339503
Agriculture,2006,2515205.3023347016
Agriculture,2007,2660993.700565927
Agriculture,2008,2663467.5131745315
Agriculture,2009,2684988.46424249
Agriculture,2010,2898207.5509841177
Agriculture,2011,3003895.0
Agriculture,2012,3048577.0
Agriculture,2013,3218396.0
Agriculture,2014,3211430.0
Agriculture,2015,3232292.0
Agriculture,2016,3452008.0
Agriculture,2017,3680045.0
Agriculture,2018,3757196.0
Agriculture,2019,3988652.0
Agriculture,2020,4148425.0
Agriculture,2021,4340212.0
Agriculture,2022,4544501.0
Construction,1950,26861.00570545959
Construction,1951,28696.850176522505
Construction,1952,26615.97512923969
Construction,1953,27437.769984869497
Construction,1954,30832.385890808222
Construction,1955,36671.653007186986
Construction,1956,40888.06376875551
Construction,1957,35887.555163283316
Construction,1958,40103.965924851844
Construction,1959,42853.96293027361
Construction,1960,49562.146166939856
Construction,1961,51303.748108687425
Construction,1962,53214.98660320262
Construction,1963,59712.066574202494
Construction,1964,64509.01131635355
Construction,1965,68814.0100554785
Construction,1966,74470.4466649855
Construction,1967,79827.1920312697
Construction,1968,82620.54060017652
Construction,1969,85187.70709872652
Construction,1970,84999.22204009582
Construction,1971,85370.53760559828
Construction,1972,87376.01862942883
Construction,1973,81698.84866347245
Construction,1974,79099.63970495523
Construction,1975,90374.8159122431
Construction,1976,99214.76516202244
Construction,1977,109255.36423527928
Construction,1978,106818.25242718446
Construction,1979,101180.66432354054
Construction,1980,114517.86707224813
Construction,1981,120788.76497289118
Construction,1982,112306.93733451015
Construction,1983,118372.38652124575
Construction,1984,122470.05169587693
Construction,1985,129402.53215231371
Construction,1986,132497.45681502964
Construction,1987,140091.5198272601
Construction,1988,149941.74899129994
Construction,1989,160489.37287227335
Construction,1990,179407.61820703567
Construction,1991,183101.9253561972
Construction,1992,189476.49003908713
Construction,1993,190556.50942504097
Construction,1994,200810.0966145505
Construction,1995,212820.36455049805
Construction,1996,216808.70839112342
Construction,1997,239513.61855377632
Construction,1998,254545.30197957382
Construction,1999,275904.42882360355
Construction,2000,292864.31439919304
Construction,2001,304542.84863195056
Construction,2002,329771.5737296684
Construction,2003,370765.18913125707
Construction,2004,431357.4809292649
Construction,2005,486534.596992813
Construction,2006,536816.7560837221
Construction,2007,594660.9357268944
Construction,2008,626390.5104967847
Construction,2009,668058.9024082713
Construction,2010,736396.0452654142
Construction,2011,777335.0
Construction,2012,780050.0
Construction,2013,800771.0
Construction,2014,835229.0
Construction,2015,865335.0
Construction,2016,916445.0
Construction,2017,964306.0
Construction,2018,1026789.0
Construction,2019,1043429.0
Construction,2020,995371.0
Construction,2021,1193532.0
Construction,2022,1306256.0
Electricity,1950,1549.5799987855971
Electricity,1951,1729.809278037525
Electricity,1952,1808.1698342340155
Electricity,1953,1951.1778492926105
Electricity,1954,2119.6530451150647
Electricity,1955,2354.734713704536
Electricity,1956,2570.2262432448842
Electricity,1957,2963.9880381322487
Electricity,1958,3342.0777217803147
Electricity,1959,3851.421337057502
Electricity,1960,4166.822575748376
Electricity,1961,4762.362802841702
Electricity,1962,5348.107960410468
Electricity,1963,6321.737871151861
Electricity,1964,6901.60598700589
Electricity,1965,7624.482117918514
Electricity,1966,8290.546845588682
Electricity,1967,9207.36535308762
Electricity,1968,10392.568765559536
Electricity,1969,11327.018398202685
Electricity,1970,12030.304390066185
Electricity,1971,13007.852328617402
Electricity,1972,13609.269597425466
Electricity,1973,13912.916752686866
Electricity,1974,14543.719230068615
Electricity,1975,16647.70016394438
Electricity,1976,18559.697735138747
Electricity,1977,19445.172020159087
Electricity,1978,21662.775760519766
Electricity,1979,21929.20165158783
Electricity,1980,23190.80660635133
Electricity,1981,25388.820207662884
Electricity,1982,27059.85906855304
Electricity,1983,28928.758333839334
Electricity,1984,32065.13959560386
Electricity,1985,34609.89865808489
Electricity,1986,38179.221992835024
Electricity,1987,41141.251017062365
Electricity,1988,45131.76234136863
Electricity,1989,49525.83053008683
Electricity,1990,52836.56402938855
Electricity,1991,57961.34440463902
Electricity,1992,61983.19995142389
Electricity,1993,66631.93994778069
Electricity,1994,72881.1943044508
Electricity,1995,77833.58145606898
Electricity,1996,82068.96951848929
Electricity,1997,88404.42048697553
Electricity,1998,94620.37160726213
Electricity,1999,99696.1766348898
Electricity,2000,101927.49347258486
Electricity,2001,103808.14682130063
Electricity,2002,108731.14876434514
Electricity,2003,113744.26534701561
Electricity,2004,122781.19649037586
Electricity,2005,131494.8903394256
Electricity,2006,143717.17809217318
Electricity,2007,155604.47446718076
Electricity,2008,162696.10480296315
Electricity,2009,172820.2886635497
Electricity,2010,181743.59700042504
Electricity,2011,193578.0
Electricity,2012,198687.0
Electricity,2013,206946.0
Electricity,2014,222001.0
Electricity,2015,232253.0
Electricity,2016,255065.0
Electricity,2017,284565.0
Electricity,2018,306775.0
Electricity,2019,313814.0
Electricity,2020,300478.0
Electricity,2021,331019.0
Electricity,2022,362107.0
Financial_services,1950,11805.625005269769
Financial_services,1951,12077.926237974383
Financial_services,1952,12584.062358243184
Financial_services,1953,12764.246817058876
Financial_services,1954,13230.398183826443
Financial_services,1955,13761.841110108682
Financial_services,1956,13987.071683628299
Financial_services,1957,14515.477793188926
Financial_services,1958,14926.966458967461
Financial_services,1959,15497.381866510399
Financial_services,1960,15817.76603064055
Financial_services,1961,16498.012976281818
Financial_services,1962,17053.24430021669
Financial_services,1963,17580.638137536782
Financial_services,1964,18062.98586015295
Financial_services,1965,18608.600597802717
Financial_services,1966,18935.56453149636
Financial_services,1967,19451.31723805027
Financial_services,1968,20399.816327434
Financial_services,1969,21247.59432888424
Financial_services,1970,22135.863219955987
Financial_services,1971,23276.694035041863
Financial_services,1972,24176.604056879787
Financial_services,1973,24768.277181474015
Financial_services,1974,24688.813810591815
Financial_services,1975,26390.94958305579
Financial_services,1976,28483.82244036728
Financial_services,1977,29878.227451707826
Financial_services,1978,31989.321209348993
Financial_services,1979,32300.594923314304
Financial_services,1980,32919.59939840304
Financial_services,1981,35594.52879402366
Financial_services,1982,38987.159208185425
Financial_services,1983,42811.52373293648
Financial_services,1984,46011.31628527584
Financial_services,1985,50503.78048878171
Financial_services,1986,55824.28338504734
Financial_services,1987,59917.9123257814
Financial_services,1988,65764.2906510063
Financial_services,1989,73940.41353782851
Financial_services,1990,78534.61110150842
Financial_services,1991,87033.14269694184
Financial_services,1992,91772.60132713888
Financial_services,1993,102020.84549034155
Financial_services,1994,105985.40972040707
Financial_services,1995,114562.89855060243
Financial_services,1996,121651.84105108725
Financial_services,1997,135895.01761157156
Financial_services,1998,146496.03865060158
Financial_services,1999,165562.69243724758
Financial_services,2000,171408.56462635222
Financial_services,2001,182049.0642827632
Financial_services,2002,195196.96227898583
Financial_services,2003,205540.8661689193
Financial_services,2004,221269.55224239256
Financial_services,2005,249191.0574531412
Financial_services,2006,283974.2500463739
Financial_services,2007,317916.24440772
Financial_services,2008,356132.05216861574
Financial_services,2009,390689.0019160884
Financial_services,2010,430029.4441362214
Financial_services,2011,480226.0
Financial_services,2012,529792.0
Financial_services,2013,577914.0
Financial_services,2014,627255.0
Financial_services,2015,672788.0
Financial_services,2016,695983.0
Financial_services,2017,728670.0
Financial_services,2018,758170.0
Financial_services,2019,784536.0
Financial_services,2020,824294.0
Financial_services,2021,831305.0
Financial_services,2022,894603.0
Manufacturing,1950,65308.97492779667
Manufacturing,1951,67372.6510960204
Manufacturing,1952,69714.78041682918
Manufacturing,1953,75112.08731833739
Manufacturing,1954,80374.0711924211
Manufacturing,1955,86669.1943335727
Manufacturing,1956,93175.10911359706
Manufacturing,1957,96766.37407217053
Manufacturing,1958,101559.93208209248
Manufacturing,1959,108456.2017489183
