SectorWanted,Year,Value,Growth,Cumulative
Agriculture,1950,145052.0,,0.0
Agriculture,1951,147216.0,0.014918787745084521,0.014918787745084483
Agriculture,1952,151859.0,0.03153869144658189,0.04692799823511562
Agriculture,1953,163553.0,0.07700564339288418,0.127547362325235
Agriculture,1954,168361.0,0.029397198461660747,0.16069409591043216
Agriculture,1955,166906.0,-0.008642143964457326,0.15066321043487862
Agriculture,1956,175980.0,0.05436593052376787,0.21322008658963676
Agriculture,1957,168075.0,-0.044919877258779405,0.15872238921214454
Agriculture,1958,185010.0,0.10075858991521643,0.2754736232523507
Agriculture,1959,183147.0,-0.010069725960758879,0.26262995339602346
Agriculture,1960,195482.0,0.06735027054770212,0.34766842235887796
Agriculture,1961,195647.0,0.0008440674844742738,0.34880594545404375
Agriculture,1962,191755.0,-0.019892970502997747,0.32197418856685855
Agriculture,1963,196241.0,0.023394435607937213,0.35290102859664096
Agriculture,1964,214343.0,0.09224372073114182,0.4776976532553838
Agriculture,1965,190675.0,-0.11042114741325819,0.3145285828530455
Agriculture,1966,187962.0,-0.014228399108430576,0.29582494553677274
Agriculture,1967,215914.0,0.14871090965195094,0.48852825193723604
Agriculture,1968,215572.0,-0.0015839639856609577,0.4861704767945285
Agriculture,1969,229428.0,0.0642755088787041,0.5816948404710032
Agriculture,1970,245699.0,0.07091985285143923,0.6938684058130873
Agriculture,1971,241087.0,-0.018770935168641305,0.6620729117833601
Agriculture,1972,228988.0,-0.050185202852082444,0.578661445550561
Agriculture,1973,245479.0,0.07201687424668542,0.6923517083528663
Agriculture,1974,241740.0,-0.01523144545969309,0.6665747456084712
Agriculture,1975,272899.0,0.12889468023496317,0.8813873645313401
Agriculture,1976,257131.0,-0.0577796181004694,0.7726815211096707
Agriculture,1977,282937.0,0.10036129443746573,0.9505901331936129
Agriculture,1978,289452.0,0.023026327415643765,0.995505060254253
Agriculture,1979,252475.0,-0.12774829678150437,0.7405826875878989
Agriculture,1980,285015.0,0.12888404792553718,0.9649160301133379
Agriculture,1981,298130.0,0.04601512201112222,1.0553318809806131
Agriculture,1982,297293.0,-0.002807500083856036,1.049561536552408
Agriculture,1983,327382.0,0.10120991748880734,1.2569974905551105
Agriculture,1984,332571.0,0.015849985643682302,1.292770868378236
Agriculture,1985,333616.0,0.0031421861797931872,1.2999751813142861
Agriculture,1986,332250.0,-0.004094527840391348,1.2905578689021855
Agriculture,1987,326975.0,-0.01587659894657637,1.254191600253701
Agriculture,1988,378113.0,0.15639727807936388,1.6067410308027452
Agriculture,1989,382609.0,0.01189062528926538,1.6377368116261741
Agriculture,1990,397971.0,0.04015064988016487,1.7436436588257993
Agriculture,1991,390201.0,-0.019524035670940847,1.6900766621625336
Agriculture,1992,416153.0,0.06650931186747343,1.8689918098337133
Agriculture,1993,429981.0,0.033228163680184934,1.9643231392879779
Agriculture,1994,450258.0,0.04715789767454841,2.104114386564816
Agriculture,1995,447127.0,-0.006953790937640198,2.082529024074123
Agriculture,1996,491484.0,0.09920447658047937,2.3883297024515326
Agriculture,1997,478933.0,-0.025536945251523956,2.3018021123459156
Agriculture,1998,509203.0,0.06320299499094863,2.5104858947136184
Agriculture,1999,522795.0,0.02669269426927964,2.604190221437827
Agriculture,2000,522755.0,-7.651182585908434e-05,2.6039144582632416
Agriculture,2001,554157.0,0.060070204971736284,2.8204023384717187
Agriculture,2002,517559.0,-0.06604265578166477,2.5680928218845636
Agriculture,2003,564391.0,0.09048630204479102,2.8909563466894608
Agriculture,2004,565426.0,0.0018338350540671273,2.898091718831865
Agriculture,2005,594487.0,0.0513966460686279,3.0984405592477158
Agriculture,2006,619190.0,0.041553473835424494,3.2687450017924577
Agriculture,2007,655080.0,0.05796282239700253,3.5161735101894465
Agriculture,2008,655689.0,0.000929657446418758,3.520372004522513
Agriculture,2009,660987.0,0.008080050145724573,3.5568968369963843
Agriculture,2010,713477.0,0.079411546671871,3.918767062846424
