"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","36,261.10","36,167.05","36,405.20","36,115.00","237.34M","0.20%"
"11/13/2025","36,187.85","36,310.95","36,371.90","36,134.25","273.46M","-0.28%"
"11/12/2025","36,287.90","36,219.15","36,377.00","36,166.60","313.98M","0.60%"
"11/11/2025","36,069.85","36,030.85","36,097.55","35,681.00","335.30M","0.41%"
"11/10/2025","35,921.60","35,798.65","36,084.70","35,786.10","344.53M","0.37%"
"11/07/2025","35,790.30","35,718.85","35,897.60","35,488.95","362.64M","-0.14%"
"11/06/2025","35,839.50","36,396.00","36,396.00","35,803.70","475.50M","-1.21%"
"11/04/2025","36,278.40","36,496.00","36,517.95","36,244.00","643.29M","-0.46%"
"11/03/2025","36,445.15","36,313.85","36,518.00","36,161.45","34.68M","0.47%"
"10/31/2025","36,275.95","36,433.75","36,462.05","36,246.40","393.65M","-0.32%"
"10/30/2025","36,392.60","36,468.85","36,475.60","36,202.40","453.83M","0.12%"
"10/29/2025","36,347.95","35,749.00","36,484.20","35,701.70","663.68M","1.93%"
"10/28/2025","35,658.15","35,812.45","35,890.65","35,498.60","355.24M","-0.34%"
"10/27/2025","35,780.00","35,740.85","35,854.60","35,686.50","240.99M","0.43%"
"10/24/2025","35,626.90","35,664.05","35,815.30","35,528.65","276.70M","0.02%"
"10/23/2025","35,619.15","35,768.70","35,876.10","35,567.30","366.59M","-0.07%"
"10/21/2025","35,644.15","35,698.60","35,748.85","35,588.65","75.27M","0.23%"
"10/20/2025","35,563.95","35,557.05","35,677.75","35,512.50","309.31M","0.48%"
"10/17/2025","35,395.70","35,485.35","35,527.95","35,192.60","546.12M","-0.21%"
"10/16/2025","35,468.80","35,407.05","35,490.15","35,318.00","304.77M","0.42%"
"10/15/2025","35,321.65","35,120.40","35,395.45","35,097.80","324.63M","0.72%"
"10/14/2025","35,067.70","35,383.65","35,511.80","35,003.05","275.30M","-0.62%"
"10/13/2025","35,288.00","35,236.05","35,313.70","35,026.50","343.63M","-0.30%"
"10/10/2025","35,393.95","35,280.95","35,573.95","35,268.00","389.80M","0.43%"
"10/09/2025","35,244.15","35,138.50","35,285.15","35,021.05","250.79M","0.45%"
"10/08/2025","35,085.75","35,544.00","35,558.45","35,054.85","287.29M","-1.08%"
"10/07/2025","35,470.00","35,438.75","35,708.50","35,421.75","330.05M","0.28%"
"10/06/2025","35,369.45","35,359.65","35,446.90","35,212.75","268.70M","-0.02%"
"10/03/2025","35,375.90","35,236.25","35,400.35","35,036.85","401.33M","0.56%"
"10/01/2025","35,180.35","35,020.60","35,315.90","34,980.05","270.67M","0.52%"
"09/30/2025","34,999.65","35,144.55","35,203.30","34,861.10","251.23M","-0.20%"
"09/29/2025","35,069.15","34,994.40","35,265.80","34,952.75","324.94M","0.69%"
"09/26/2025","34,830.00","35,272.15","35,285.55","34,775.15","273.08M","-1.21%"
"09/25/2025","35,255.55","35,528.05","35,736.15","35,217.25","374.73M","-0.71%"
"09/24/2025","35,506.70","35,822.60","35,844.40","35,482.40","352.33M","-0.89%"
"09/23/2025","35,826.20","36,107.65","36,142.40","35,761.70","438.28M","-0.46%"
"09/22/2025","35,992.65","35,804.30","36,182.10","35,789.15","438.56M","0.69%"
"09/19/2025","35,745.75","35,596.15","35,814.65","35,583.05","452.70M","0.86%"
"09/18/2025","35,442.10","35,657.70","35,669.05","35,278.30","188.12M","-0.35%"
"09/17/2025","35,568.05","35,620.60","35,648.20","35,457.85","235.03M","0.36%"
"09/16/2025","35,441.10","35,218.55","35,474.95","35,159.65","303.57M","0.89%"
"09/15/2025","35,129.00","34,976.20","35,201.70","34,973.05","213.04M","0.54%"
"09/12/2025","34,940.30","34,918.20","35,021.85","34,830.40","200.27M","0.33%"
"09/11/2025","34,826.70","34,595.45","34,992.65","34,525.00","328.19M","0.88%"
"09/10/2025","34,522.10","34,401.35","34,598.55","34,384.15","221.47M","0.80%"
"09/09/2025","34,249.65","34,369.75","34,402.45","34,201.20","226.13M","-0.12%"
"09/08/2025","34,290.65","34,429.55","34,552.25","34,272.75","155.62M","-0.02%"
"09/05/2025","34,297.90","34,357.85","34,441.75","34,104.25","200.85M","0.04%"
"09/04/2025","34,284.70","34,788.40","34,803.15","34,246.85","203.03M","-0.99%"
"09/03/2025","34,626.60","34,571.05","34,715.40","34,562.55","216.42M","0.39%"
"09/02/2025","34,490.50","34,287.45","34,720.40","34,248.50","235.99M","0.98%"
"09/01/2025","34,155.30","33,785.25","34,200.25","33,727.20","214.28M","1.54%"
"08/29/2025","33,638.65","33,689.95","33,862.80","33,481.85","304.70M","-0.13%"
"08/28/2025","33,682.85","33,994.60","34,006.10","33,616.00","261.56M","-0.80%"
"08/26/2025","33,955.95","34,395.25","34,471.70","33,909.30","305.29M","-1.56%"
"08/25/2025","34,494.35","34,576.95","34,611.75","34,441.20","188.30M","-0.04%"
"08/22/2025","34,507.60","34,687.25","34,729.85","34,477.90","205.63M","-0.50%"
"08/21/2025","34,681.60","34,906.75","34,987.05","34,658.70","227.37M","-0.48%"
"08/20/2025","34,847.85","34,766.60","34,939.75","34,766.20","235.32M","0.23%"
"08/19/2025","34,768.10","34,561.50","34,789.70","34,499.25","290.52M","0.83%"
"08/18/2025","34,483.20","34,812.70","34,822.50","34,364.55","365.23M","0.04%"
"08/14/2025","34,469.05","34,780.95","34,804.50","34,419.00","221.99M","-0.78%"
"08/13/2025","34,739.35","34,872.55","34,944.60","34,636.10","323.81M","-0.01%"
"08/12/2025","34,741.45","34,661.05","34,881.60","34,635.70","288.92M","0.38%"
"08/11/2025","34,610.35","34,426.20","34,640.20","34,329.85","227.41M","0.64%"
"08/08/2025","34,391.95","34,635.55","34,714.85","34,340.05","262.08M","-0.64%"
"08/07/2025","34,613.80","34,504.50","34,660.65","34,114.35","309.30M","-0.20%"
"08/06/2025","34,683.35","34,932.95","34,947.20","34,617.70","294.74M","-0.66%"
"08/05/2025","34,914.40","34,957.30","35,062.30","34,739.80","260.81M","-0.03%"
"08/04/2025","34,923.45","34,932.30","35,025.60","34,685.00","279.11M","0.10%"
"08/01/2025","34,889.00","35,183.30","35,283.20","34,826.30","493.45M","-0.65%"
"07/31/2025","35,116.15","35,062.85","35,321.20","35,010.70","266.39M","-0.86%"
"07/30/2025","35,422.05","35,541.75","35,619.90","35,333.40","233.30M","0.03%"
"07/29/2025","35,410.70","34,940.35","35,447.60","34,901.75","249.92M","1.11%"
"07/28/2025","35,021.55","35,244.10","35,515.55","34,986.25","269.83M","-0.65%"
"07/25/2025","35,250.50","35,967.80","36,009.70","35,214.80","256.48M","-2.21%"
"07/24/2025","36,048.35","36,319.60","36,359.20","35,950.40","205.65M","-0.70%"
"07/23/2025","36,302.95","36,276.95","36,340.50","36,171.40","251.03M","0.29%"
"07/22/2025","36,198.50","36,296.55","36,338.65","36,090.70","259.66M","-0.14%"
"07/21/2025","36,248.55","36,210.65","36,282.30","35,966.45","276.40M","0.05%"
"07/18/2025","36,231.65","36,502.15","36,590.00","36,144.00","376.05M","-0.57%"
"07/17/2025","36,438.25","36,426.90","36,537.85","36,330.05","318.83M","0.24%"
"07/16/2025","36,350.90","36,297.95","36,388.65","36,199.75","530.24M","0.12%"
"07/15/2025","36,308.50","36,237.95","36,431.60","36,180.50","683.17M","0.30%"
"07/14/2025","36,201.05","36,159.75","36,289.70","36,035.15","1.25B","0.29%"
"07/11/2025","36,097.85","36,432.10","36,488.65","36,039.70","681.57M","-0.96%"
"07/10/2025","36,447.65","36,591.55","36,630.15","36,335.90","535.64M","-0.19%"
"07/09/2025","36,517.50","36,648.85","36,737.70","36,452.55","624.78M","-0.24%"
"07/08/2025","36,605.85","36,553.85","36,755.25","36,415.65","937.32M","0.20%"
"07/07/2025","36,532.40","36,553.75","36,650.65","36,421.90","1.13B","0.06%"
"07/04/2025","36,509.60","36,445.35","36,523.90","36,291.95","288.17M","0.40%"
"07/03/2025","36,362.80","36,442.25","36,555.25","36,276.00","294.48M","0.09%"
"07/02/2025","36,331.25","36,543.30","36,611.00","36,164.45","332.17M","-0.41%"
"07/01/2025","36,480.10","36,661.55","36,702.65","36,423.60","349.43M","-0.24%"
"06/30/2025","36,568.65","36,672.15","36,743.55","36,415.95","377.31M","0.07%"
"06/27/2025","36,542.60","36,300.70","36,707.65","36,289.60","554.58M","1.00%"
"06/26/2025","36,179.10","35,885.60","36,208.90","35,873.60","338.46M","1.00%"
"06/25/2025","35,820.55","35,923.15","35,974.40","35,765.35","341.86M","0.26%"
"06/24/2025","35,727.05","35,836.70","35,952.80","35,627.45","476.12M","0.33%"
"06/23/2025","35,608.95","35,361.00","35,711.00","35,280.10","270.03M","0.02%"
"06/20/2025","35,600.20","35,248.55","35,760.40","35,181.10","539.17M","0.93%"
"06/19/2025","35,273.85","35,671.40","35,848.35","35,180.65","323.84M","-1.10%"
"06/18/2025","35,667.55","35,831.25","35,941.95","35,544.15","284.27M","-0.47%"
"06/17/2025","35,836.00","36,067.20","36,107.75","35,736.00","268.54M","-0.48%"
"06/16/2025","36,010.45","35,796.75","36,029.20","35,429.65","499.78M","0.76%"
"06/13/2025","35,740.55","35,408.00","35,819.00","35,304.95","564.57M","-0.50%"
"06/12/2025","35,918.35","36,753.15","36,771.35","35,851.95","681.36M","-1.93%"
"06/11/2025","36,624.70","36,649.95","36,938.90","36,495.40","1.07B","0.30%"
"06/10/2025","36,515.25","36,536.55","36,582.60","36,329.10","1.05B","0.45%"
"06/09/2025","36,352.80","36,143.25","36,371.10","36,079.35","677.93M","1.19%"
"06/06/2025","35,924.05","35,885.05","35,962.45","35,790.65","449.44M","0.28%"
"06/05/2025","35,824.85","35,835.20","36,068.85","35,767.25","496.65M","0.25%"
"06/04/2025","35,734.20","35,650.10","35,773.35","35,368.85","560.17M","0.52%"
"06/03/2025","35,549.60","36,036.15","36,156.25","35,511.80","527.76M","-1.07%"
"06/02/2025","35,933.80","35,931.30","36,040.30","35,818.55","880.62M","0.15%"
"05/30/2025","35,879.05","36,236.80","36,421.35","35,821.00","1.47B","-0.30%"
"05/29/2025","35,988.70","36,020.45","36,082.35","35,858.00","461.74M","0.28%"
"05/28/2025","35,888.55","35,941.45","36,094.10","35,855.55","427.68M","0.02%"
"05/27/2025","35,880.90","35,906.70","36,013.60","35,634.00","478.75M","0.00%"
"05/26/2025","35,882.60","35,873.40","36,127.65","35,853.00","546.98M","0.69%"
"05/23/2025","35,637.90","35,431.25","35,707.40","35,318.90","700.70M","0.79%"
"05/22/2025","35,357.10","35,577.95","35,645.30","35,072.70","289.44M","-0.81%"
"05/21/2025","35,647.10","35,531.00","35,737.45","35,296.30","278.40M","0.60%"
"05/20/2025","35,435.15","35,847.95","35,967.60","35,382.20","391.87M","-0.72%"
"05/19/2025","35,690.85","35,790.30","35,959.80","35,623.55","318.98M","0.07%"
"05/16/2025","35,664.80","35,458.60","35,748.40","35,332.10","459.61M","0.85%"
"05/15/2025","35,362.55","35,130.80","35,394.90","34,800.50","417.35M","0.92%"
"05/14/2025","35,040.75","34,679.00","35,091.35","34,604.45","370.92M","1.42%"
"05/13/2025","34,549.25","34,750.85","34,894.55","34,501.95","344.38M","-0.53%"
"05/12/2025","34,734.30","34,260.05","34,758.45","34,196.15","480.23M","4.19%"
"05/09/2025","33,337.55","32,800.50","33,413.05","32,791.85","336.33M","-0.59%"
"05/08/2025","33,534.75","34,175.60","34,354.85","33,305.55","318.81M","-1.51%"
"05/07/2025","34,048.05","33,231.70","34,141.55","33,229.35","370.99M","0.82%"
"05/06/2025","33,771.10","34,663.65","34,727.00","33,670.15","306.99M","-2.35%"
