"Date","Price","Open","High","Low","Vol.","Change %"
"14-11-2025","27,491.85","27,245.25","27,522.35","27,245.25","103.02M","0.35%"
"13-11-2025","27,396.15","27,284.95","27,507.35","27,264.35","103.40M","0.22%"
"12-11-2025","27,337.35","27,472.55","27,476.70","27,297.15","109.82M","0.21%"
"11-11-2025","27,279.30","27,246.65","27,311.35","27,003.15","107.60M","-0.09%"
"10-11-2025","27,305.05","27,247.40","27,390.50","27,222.10","86.42M","0.24%"
"07-11-2025","27,238.75","26,956.90","27,309.90","26,874.40","119.45M","0.76%"
"06-11-2025","27,033.10","27,103.15","27,197.50","27,011.55","129.55M","-0.60%"
"04-11-2025","27,195.80","27,230.40","27,320.20","27,159.15","107.26M","-0.40%"
"03-11-2025","27,306.15","27,093.45","27,370.45","27,086.70","8.83M","0.62%"
"31-10-2025","27,138.85","27,329.40","27,461.60","27,120.95","117.94M","-0.87%"
"30-10-2025","27,376.00","27,483.35","27,555.35","27,358.00","97.44M","-0.77%"
"29-10-2025","27,587.65","27,497.20","27,627.85","27,414.85","116.03M","0.49%"
"28-10-2025","27,453.95","27,441.65","27,549.90","27,299.40","162.32M","-0.24%"
"27-10-2025","27,519.00","27,447.40","27,585.55","27,388.95","98.04M","0.45%"
"24-10-2025","27,395.30","27,603.25","27,623.30","27,295.10","85.69M","-0.59%"
"23-10-2025","27,556.65","27,689.20","27,774.70","27,504.30","162.84M","0.07%"
"21-10-2025","27,536.85","27,533.15","27,571.25","27,479.60","19.51M","0.11%"
"20-10-2025","27,505.50","27,584.25","27,723.95","27,463.05","122.01M","-0.12%"
"17-10-2025","27,538.60","27,343.85","27,597.70","27,276.40","114.05M","0.57%"
"16-10-2025","27,381.20","27,214.15","27,429.75","27,158.30","129.83M","1.14%"
"15-10-2025","27,071.80","26,853.90","27,118.50","26,840.85","118.35M","0.91%"
"14-10-2025","26,828.30","26,886.60","26,972.85","26,704.95","98.85M","-0.21%"
"13-10-2025","26,885.25","26,703.95","26,918.70","26,690.10","84.14M","0.16%"
"10-10-2025","26,842.25","26,717.55","26,925.80","26,709.85","79.39M","0.44%"
"09-10-2025","26,724.30","26,621.40","26,751.35","26,534.40","80.50M","0.25%"
"08-10-2025","26,656.40","26,688.35","26,822.45","26,593.15","72.28M","-0.45%"
"07-10-2025","26,777.30","26,724.30","26,919.80","26,670.65","108.53M","0.24%"
"06-10-2025","26,712.05","26,532.30","26,724.50","26,489.75","109.88M","1.08%"
"03-10-2025","26,426.75","26,265.70","26,439.40","26,259.15","109.52M","0.17%"
"01-10-2025","26,382.20","26,016.20","26,414.40","25,989.40","137.76M","1.38%"
"30-09-2025","26,022.10","26,100.90","26,133.15","25,970.95","122.90M","0.06%"
"29-09-2025","26,007.00","26,016.90","26,111.80","25,886.60","137.91M","0.08%"
"26-09-2025","25,985.25","26,152.40","26,197.15","25,945.45","91.98M","-1.00%"
"25-09-2025","26,247.40","26,352.30","26,431.65","26,222.80","126.11M","-0.53%"
"24-09-2025","26,388.45","26,471.20","26,532.85","26,308.35","87.64M","-0.64%"
"23-09-2025","26,559.50","26,504.60","26,641.45","26,464.00","114.53M","0.12%"
"22-09-2025","26,528.40","26,513.15","26,658.95","26,479.10","67.67M","0.00%"
"19-09-2025","26,527.60","26,646.15","26,664.25","26,463.75","128.40M","-0.64%"
"18-09-2025","26,698.65","26,685.90","26,723.95","26,588.50","94.72M","0.51%"
"17-09-2025","26,563.55","26,500.85","26,611.05","26,495.55","91.54M","0.26%"
"16-09-2025","26,495.30","26,329.25","26,515.20","26,328.85","87.99M","0.39%"
"15-09-2025","26,393.05","26,384.25","26,468.45","26,342.60","77.63M","0.11%"
"12-09-2025","26,363.25","26,228.70","26,375.35","26,140.15","81.65M","0.70%"
"11-09-2025","26,178.70","26,051.40","26,223.05","26,047.25","73.63M","0.21%"
"10-09-2025","26,123.75","26,124.65","26,190.75","26,056.80","86.82M","0.62%"
"09-09-2025","25,961.95","26,025.05","26,033.35","25,905.40","65.60M","0.07%"
"08-09-2025","25,942.70","25,950.80","26,092.55","25,858.95","57.23M","0.21%"
"05-09-2025","25,889.30","25,986.55","25,986.55","25,727.80","62.10M","0.14%"
"04-09-2025","25,853.40","25,973.30","26,024.85","25,797.35","108.30M","0.47%"
"03-09-2025","25,732.55","25,562.30","25,763.10","25,481.95","81.56M","0.62%"
"02-09-2025","25,572.95","25,774.95","25,830.60","25,529.70","76.12M","-0.66%"
"01-09-2025","25,743.50","25,561.65","25,756.95","25,561.60","70.87M","0.69%"
"29-08-2025","25,567.70","25,575.40","25,750.50","25,539.75","97.69M","-0.28%"
"28-08-2025","25,640.30","25,832.70","25,910.40","25,619.20","130.37M","-1.20%"
"26-08-2025","25,952.60","26,244.35","26,297.85","25,922.50","109.11M","-1.35%"
