"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","9,619.00","9,589.75","9,633.20","9,565.55","229.45M","0.19%"
"11/13/2025","9,600.30","9,590.05","9,640.80","9,552.35","250.15M","0.43%"
"11/12/2025","9,559.65","9,547.50","9,586.25","9,535.30","244.37M","0.69%"
"11/11/2025","9,494.50","9,447.40","9,502.10","9,397.35","216.94M","0.78%"
"11/10/2025","9,421.15","9,394.60","9,456.55","9,391.30","177.75M","0.29%"
"11/07/2025","9,393.60","9,444.35","9,444.35","9,373.70","309.59M","-1.00%"
"11/06/2025","9,488.80","9,570.35","9,586.00","9,479.40","343.51M","-0.66%"
"11/04/2025","9,551.45","9,619.40","9,628.70","9,542.05","510.70M","-0.43%"
"11/03/2025","9,592.80","9,571.00","9,608.90","9,546.30","23.59M","0.28%"
"10/31/2025","9,566.15","9,606.60","9,620.80","9,559.30","272.79M","-0.44%"
"10/30/2025","9,608.65","9,649.80","9,681.90","9,588.50","263.04M","-0.55%"
"10/29/2025","9,661.85","9,560.50","9,674.30","9,557.80","405.34M","1.22%"
"10/28/2025","9,545.50","9,545.55","9,575.50","9,501.20","310.14M","0.15%"
"10/27/2025","9,531.20","9,427.65","9,537.80","9,425.25","186.89M","1.43%"
"10/24/2025","9,396.95","9,423.35","9,433.70","9,373.75","181.21M","-0.18%"
"10/23/2025","9,413.85","9,508.95","9,525.05","9,399.65","265.03M","-0.55%"
"10/21/2025","9,465.80","9,489.45","9,503.40","9,450.50","38.14M","0.04%"
"10/20/2025","9,461.75","9,405.70","9,478.20","9,399.15","155.46M","1.32%"
"10/17/2025","9,338.55","9,313.65","9,388.15","9,293.95","328.25M","0.36%"
"10/16/2025","9,305.35","9,237.65","9,319.10","9,236.40","179.59M","0.85%"
"10/15/2025","9,227.10","9,160.45","9,250.55","9,155.85","199.50M","1.01%"
"10/14/2025","9,134.50","9,200.30","9,212.30","9,107.00","174.48M","-0.44%"
"10/13/2025","9,174.50","9,159.25","9,182.20","9,131.80","167.70M","-0.09%"
