"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","10,494.75","10,578.40","10,578.40","10,447.10","103.92M","-0.89%"
"11/13/2025","10,588.60","10,679.05","10,721.30","10,565.80","216.57M","0.44%"
"11/12/2025","10,542.55","10,593.65","10,624.30","10,532.95","135.01M","-0.16%"
"11/11/2025","10,559.10","10,538.75","10,589.15","10,418.50","147.98M","0.71%"
"11/10/2025","10,484.50","10,474.80","10,534.95","10,465.10","197.73M","0.55%"
"11/07/2025","10,426.80","10,237.10","10,470.85","10,184.55","114.82M","1.41%"
"11/06/2025","10,281.90","10,416.65","10,437.90","10,245.25","115.34M","-2.07%"
"11/04/2025","10,499.05","10,651.60","10,670.55","10,483.75","99.22M","-1.44%"
"11/03/2025","10,652.80","10,644.05","10,720.45","10,628.95","11.76M","0.38%"
"10/31/2025","10,612.15","10,717.30","10,724.85","10,601.25","101.88M","-1.09%"
"10/30/2025","10,729.20","10,758.70","10,765.75","10,656.05","102.63M","-0.45%"
"10/29/2025","10,777.50","10,648.30","10,837.45","10,620.15","307.23M","1.71%"
"10/28/2025","10,596.20","10,465.85","10,624.65","10,455.30","174.83M","1.23%"
"10/27/2025","10,467.15","10,416.45","10,477.60","10,396.85","97.81M","1.16%"
"10/24/2025","10,347.45","10,320.75","10,457.40","10,314.85","154.30M","1.03%"
"10/23/2025","10,241.85","10,287.80","10,319.10","10,225.45","106.87M","0.09%"
"10/21/2025","10,232.75","10,236.85","10,249.95","10,215.30","15.51M","0.40%"
"10/20/2025","10,191.85","10,249.95","10,253.20","10,138.35","69.50M","-0.07%"
"10/17/2025","10,199.30","10,286.80","10,315.05","10,153.95","83.26M","-0.85%"
"10/16/2025","10,287.25","10,243.80","10,294.50","10,190.65","65.30M","0.68%"
"10/15/2025","10,218.00","10,139.90","10,245.70","10,120.15","91.43M","1.00%"
"10/14/2025","10,116.80","10,291.85","10,340.80","10,053.90","115.10M","-0.99%"
"10/13/2025","10,217.45","10,218.00","10,241.50","10,156.05","90.23M","-0.43%"
"10/10/2025","10,261.55","10,352.70","10,357.25","10,206.40","129.50M","-0.91%"
"10/09/2025","10,356.20","10,163.95","10,373.30","10,148.60","256.79M","2.17%"
"10/08/2025","10,136.55","10,181.05","10,209.50","10,089.05","133.55M","-0.20%"
"10/07/2025","10,156.65","10,193.85","10,268.50","10,150.20","91.13M","-0.28%"
"10/06/2025","10,185.50","10,303.10","10,315.40","10,147.00","105.17M","-0.89%"
"10/03/2025","10,277.10","10,108.90","10,346.95","10,108.65","188.26M","1.82%"
"10/01/2025","10,092.95","10,060.30","10,102.45","9,952.05","101.96M","0.55%"
"09/30/2025","10,038.15","9,978.45","10,082.75","9,963.65","169.66M","1.16%"
"09/29/2025","9,923.10","9,910.70","10,002.70","9,910.70","102.81M","0.35%"
"09/26/2025","9,888.25","10,087.15","10,124.65","9,871.80","104.47M","-1.93%"
"09/25/2025","10,082.55","10,082.20","10,187.35","10,057.55","145.55M","0.22%"
"09/24/2025","10,060.10","10,118.15","10,153.65","10,050.10","99.60M","-0.68%"
"09/23/2025","10,129.05","10,044.90","10,168.20","9,994.20","127.49M","1.00%"
"09/22/2025","10,029.10","9,984.50","10,079.95","9,980.80","118.79M","0.39%"
"09/19/2025","9,989.90","9,997.20","10,016.10","9,916.55","131.43M","0.35%"
"09/18/2025","9,955.15","9,932.00","9,959.65","9,868.35","68.30M","0.32%"
"09/17/2025","9,923.15","10,005.55","10,018.70","9,833.80","94.34M","-0.50%"
"09/16/2025","9,973.45","9,917.10","9,979.75","9,891.85","91.31M","0.83%"
"09/15/2025","9,891.00","9,900.60","9,951.45","9,864.90","81.39M","0.07%"
"09/12/2025","9,883.60","9,828.35","9,902.35","9,800.25","142.30M","0.93%"
"09/11/2025","9,792.95","9,757.95","9,837.65","9,746.80","82.02M","0.34%"
"09/10/2025","9,759.45","9,767.60","9,812.25","9,730.80","60.81M","0.26%"
"09/09/2025","9,734.20","9,733.30","9,766.25","9,683.65","83.71M","0.17%"
"09/08/2025","9,717.85","9,722.60","9,816.95","9,708.40","113.92M","0.37%"
"09/05/2025","9,681.65","9,612.60","9,700.90","9,572.10","65.91M","0.68%"
"09/04/2025","9,616.35","9,734.45","9,736.15","9,605.95","80.29M","-0.62%"
"09/03/2025","9,676.40","9,406.35","9,685.80","9,406.35","201.83M","3.11%"
"09/02/2025","9,384.35","9,318.90","9,432.10","9,269.70","122.53M","0.85%"
"09/01/2025","9,305.30","9,169.35","9,316.70","9,163.40","56.98M","1.64%"
"08/29/2025","9,154.80","9,226.90","9,238.75","9,132.20","68.11M","-0.60%"
"08/28/2025","9,210.50","9,274.10","9,312.10","9,191.70","72.23M","-0.75%"
"08/26/2025","9,280.05","9,412.85","9,414.60","9,256.80","83.28M","-1.66%"
"08/25/2025","9,436.75","9,419.90","9,477.00","9,396.70","62.35M","0.65%"
"08/22/2025","9,375.45","9,494.35","9,499.75","9,363.15","62.05M","-1.25%"
"08/21/2025","9,493.65","9,506.65","9,538.35","9,484.35","61.41M","-0.04%"
"08/20/2025","9,497.75","9,433.70","9,538.95","9,407.85","109.47M","0.43%"
"08/19/2025","9,457.50","9,412.60","9,463.60","9,369.55","80.19M","0.75%"
"08/18/2025","9,387.50","9,335.00","9,414.55","9,290.75","110.64M","1.86%"
"08/14/2025","9,216.25","9,351.20","9,362.25","9,181.70","114.74M","-1.39%"
"08/13/2025","9,345.95","9,285.70","9,424.75","9,275.30","101.50M","1.26%"
"08/12/2025","9,229.70","9,163.15","9,280.70","9,160.50","68.63M","0.38%"
"08/11/2025","9,194.80","9,153.35","9,227.20","9,134.45","53.73M","0.52%"
"08/08/2025","9,147.10","9,309.65","9,327.30","9,127.25","55.36M","-1.76%"
"08/07/2025","9,310.65","9,253.40","9,328.75","9,144.10","72.61M","0.13%"
"08/06/2025","9,298.75","9,368.65","9,368.65","9,256.60","53.61M","-0.40%"
"08/05/2025","9,336.05","9,347.15","9,374.30","9,290.15","60.19M","0.09%"
"08/04/2025","9,327.85","9,127.40","9,350.60","9,102.15","94.34M","2.48%"
"08/01/2025","9,102.35","9,281.80","9,285.40","9,086.35","75.67M","-1.97%"
"07/31/2025","9,285.45","9,290.80","9,402.45","9,255.85","103.99M","-1.22%"
"07/30/2025","9,399.75","9,426.65","9,464.60","9,379.20","65.59M","-0.11%"
"07/29/2025","9,409.70","9,279.65","9,427.35","9,279.65","68.06M","1.00%"
"07/28/2025","9,316.45","9,418.10","9,432.50","9,288.50","103.13M","-1.15%"
"07/25/2025","9,425.10","9,579.95","9,584.90","9,406.40","82.52M","-1.64%"
"07/24/2025","9,582.30","9,595.70","9,644.75","9,554.30","69.62M","0.03%"
"07/23/2025","9,579.05","9,558.20","9,594.85","9,519.40","84.36M","0.48%"
"07/22/2025","9,533.30","9,576.25","9,598.85","9,522.30","80.61M","-0.23%"
"07/21/2025","9,555.50","9,510.90","9,585.35","9,492.75","118.85M","1.03%"
"07/18/2025","9,458.20","9,439.85","9,509.05","9,398.75","125.46M","0.37%"
"07/17/2025","9,423.35","9,383.05","9,473.30","9,358.30","75.62M","0.67%"
"07/16/2025","9,360.70","9,407.15","9,412.45","9,334.05","72.09M","-0.54%"
"07/15/2025","9,411.95","9,430.90","9,444.30","9,344.35","79.15M","0.04%"
"07/14/2025","9,407.95","9,379.65","9,472.80","9,352.55","72.22M","0.27%"
"07/11/2025","9,382.85","9,411.15","9,476.65","9,373.10","97.06M","-0.43%"
"07/10/2025","9,423.55","9,403.70","9,463.20","9,366.40","70.82M","0.42%"
