"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","941.15","940.80","943.70","932.80","5.60M","-0.08%"
"11/13/2025","941.90","940.25","952.15","940.25","8.56M","0.42%"
"11/12/2025","937.95","945.15","950.75","935.70","8.57M","-0.49%"
"11/11/2025","942.60","946.45","947.10","934.05","7.27M","-0.16%"
"11/10/2025","944.15","947.95","952.85","942.65","7.95M","-0.24%"
"11/07/2025","946.40","943.15","948.40","930.60","8.53M","-0.02%"
"11/06/2025","946.60","961.10","963.80","944.70","9.48M","-1.51%"
"11/04/2025","961.10","969.15","972.60","959.65","8.88M","-0.78%"
"11/03/2025","968.65","948.15","974.50","945.35","836.07K","2.23%"
"10/31/2025","947.55","950.00","964.00","945.70","15.97M","-0.35%"
"10/30/2025","950.90","953.90","956.85","945.40","9.83M","0.04%"
"10/29/2025","950.50","946.75","953.85","942.20","8.27M","0.62%"
"10/28/2025","944.60","955.45","956.15","940.40","7.23M","-1.05%"
"10/27/2025","954.65","945.95","958.40","944.75","10.05M","1.46%"
"10/24/2025","940.90","940.55","948.25","938.05","8.26M","0.18%"
"10/23/2025","939.20","940.60","946.75","935.90","11.54M","0.19%"
"10/21/2025","937.40","941.30","942.60","935.00","1.82M","-0.09%"
"10/20/2025","938.20","938.65","941.30","929.10","9.19M","0.48%"
"10/17/2025","933.75","930.60","939.90","925.85","16.34M","0.10%"
"10/16/2025","932.80","920.85","935.00","919.25","20.10M","1.90%"
"10/15/2025","915.40","890.55","920.75","889.60","18.10M","3.04%"
"10/14/2025","888.35","901.75","901.75","886.35","9.40M","-0.94%"
"10/13/2025","896.80","895.30","899.40","884.55","8.27M","0.02%"
"10/10/2025","896.65","883.05","900.50","879.05","11.56M","1.67%"
"10/09/2025","881.90","881.55","889.60","874.55","13.97M","0.74%"
"10/08/2025","875.40","889.45","891.40","872.95","14.48M","-1.83%"
"10/07/2025","891.70","883.40","892.90","876.15","20.85M","1.09%"
"10/06/2025","882.10","880.00","883.25","871.60","10.86M","0.68%"
"10/03/2025","876.10","879.45","880.85","870.60","18.80M","-0.12%"
"10/01/2025","877.15","869.00","881.10","867.30","10.90M","1.10%"
"09/30/2025","867.60","877.15","877.25","862.70","14.09M","-0.82%"
"09/29/2025","874.75","872.90","880.10","869.45","24.15M","0.88%"
"09/26/2025","867.15","875.95","879.70","866.15","20.70M","-1.00%"
"09/25/2025","875.90","890.80","893.45","872.65","14.24M","-1.65%"
"09/24/2025","890.60","912.45","915.10","888.25","32.32M","-2.49%"
"09/23/2025","913.35","922.35","924.90","909.95","11.89M","-0.89%"
"09/22/2025","921.55","924.75","933.85","918.70","31.83M","-0.21%"
"09/19/2025","923.50","919.95","927.65","913.80","32.34M","0.55%"
"09/18/2025","918.45","920.85","928.35","915.65","9.03M","-0.07%"
"09/17/2025","919.10","921.20","922.30","913.35","8.53M","0.41%"
"09/16/2025","915.35","908.30","918.05","905.40","23.07M","1.07%"
"09/15/2025","905.65","887.80","912.65","885.80","43.13M","2.41%"
